id,name,brand,supplier,supplier_rating,rating,review_rating,feedbacks,price_basic,price_sale,discount_pct
205547912,"Ноутбук RB-1552 15,6 N100 4x0.8GHz, 16Gb, 1Tb SSD",AZERTY,Che,4.8,5,4.7,105,51840.0,30691.0,40.8
839398249,"Ноутбук BaseLine B150i-012s 15"" N100 8 256 UNC Silver",Osio,Официальный магазин OSiO,4.6,4,3.9,10,29990.0,19857.0,33.8
876790584,"2-1 Ноутбук,Планшет YBOOK,15.6"", Ryzen 3-3200U, 16 ГБ+512 ГБ",Ninkear,iGadget-ноутбук,4.7,5,4.5,2,34858.0,31128.0,10.7
1126105065,"Ноутбук 15.6"" Intel Corei5 32ГБ 2048ГБ Windows легкий универ…",SANCYT,Цифровая победа Брауна,4.6,5,5.0,4,54253.0,21267.0,60.8
611134982,Ноутбук игровой 360 Гц 17.3'' Intel i5 16 1024 ГБ 10000 мАч,Vicyoung,EBOLAI LAPTOP,4.7,5,5.0,7,90517.0,46127.0,49.0
1123466450,"Ноутбук 15.6"" IPS, Intel Core i3, 20+1024 ГБ, серый",FRONSH,HELET 3C,4.5,0,0.0,0,32332.0,18377.0,43.2
401265847,"17.3"" IPS Ноутбук, Intel Pentium Gold 6500Y,20+1024 ГБ",FRONSH,WONTTR,4.6,4,4.4,45,33715.0,27545.0,18.3
1066874832,Легкий портативный ноутбук для работы и учебы 8G 256G,Asus,Офис и Игровая Техника,4.7,0,0.0,0,55430.0,22643.0,59.2
981653703,Ноутбук 15.6 Intel Core i7 32ГБ 2ТБ SSD Win11 Pro,PWR,Comp Comp,4.7,0,0.0,0,69000.0,26875.0,61.1
1125620603,"Ноутбук 17.3"", Intel Pentium Gold 6500Y, 16+256 ГБ, серебро",FRONSH,HELET 3C,4.5,0,0.0,0,34390.0,23591.0,31.4
1135736861,"Ноутбук 17.3"", Intel Pentium Gold 6500Y, 20+512 ГБ, серебро",FRONSH,HELET 3C,4.5,0,0.0,0,38173.0,24689.0,35.3
1135779321,"Ноутбук 17.3"", Intel Pentium Gold 6500Y, 20+1024 ГБ, серебро",FRONSH,HELET 3C,4.5,0,0.0,0,38161.0,26926.0,29.4
781303638,"Игровой ноутбук i5 18.5"" 32 2048 ГБ 10000mAh",Vicyoung,EBOLAI LAPTOP,4.7,4,4.0,4,76574.0,51779.0,32.4
